Keyword,Keyword classification,Score,Notes
ISO 14001,Environmental Management,Certified,
ISO 50001,Energy Management,Certified,
ISO 45001,Safety and Health at work,Certified,
ISCC,Carbon classification for plastics and chemicals,Certified,
EcoVadis,ESG Certified commitment,Certified,"EcoVadis has degrees of certification (i.e. gold), a company with a higher certification could rank higher in the future. This is a thought, not something super well defined"
GRI,Sustainability Report,Certified,"If a vendor publishes a GRI sustainability report then they should be considered certified"
UN Global Compact,ESG Commitment,Certified,
EMAS,Environmental Management,Certified,
OHSAS 18001,Occupational Health and Safety,Certified,
EcoExpert,Environmental Management; Energy Management,Certified,
CDP aligned,Environmental Report,Certified,"If a vendor publishes a CDP aligned sustainability report then they should be considered certified"
ClimatePartner,Environmental Management; Carbon Emissions,Certified,
SBTi,Carbon Emissions,Uncert. Commitment / Certified,"If the company publishes SBTi (Science Based Targets initiative) targets it should be considered certified. If they are working towards them, they should be considered as Uncertified Commitment"
Renewables Generated on site,Energy Management; Carbon Emissions,Uncert. Commitment / Certified,"This one is a tough one, if the vendor has a certified production on site then it should be considered Certified. However, I’m not sure how to find that out just scraping keywords"
SDGs,Sustainability Report,Certified,"If a vendor publishes an SDG aligned sustainability report then they should be considered certified"
TCFD Report,Climate change report,Certified,"If a vendor publishes an TCFD aligned sustainability report then they should be considered certified"
SASB Report,Sustainability Report,Certified,"If a vendor publishes an SASB aligned sustainability report then they should be considered certified"
Blue Competence Alliance Member,Sustainability in the mechanical and plant engineering sector,Uncert. Commitment / Certified,"If a vendor belongs to the Blue Competence Alliance they should be considered certified. If their membership is in process they should be considered as with an Uncertified Commitment"
Green electricity certificate,Energy management; carbon emissions,Certified,"This one is also a bit complicated, there are multiple types of green electricity certifications and I don’t know them all. I’m not sure how to classify this."
FSC Certification,Forest management certification,Certified,"The vendor should be shown as Certified if they themselves are certified, or if they produce their products with FSC certified raw materials (i.e. a book printing company that produces books made solely with FSC Certified products)"
BellandVision,Recycling; Environmental Management,Certified,
Bioland certification,Organic food certification,Certified,
Naturland,Organic agriculture certification,Certified,
FairTrade,Living wage certification,Certified,
Fair For Life - FFL certified,Living wage certification,Certified,
VTH certified,Health and safety certification,Certified,
Valuable 500 partner,Disability inclusion,Certified,
Conflict minerals commitment,Human rights commitment,Certified,"This one is also a bit complicated, there are multiple types of conflict minerals commitment certifications and I don’t know them all. I’m not sure how to classify this."
Klimaschutz Unternehmen,Climate change partnership,Uncert. Commitment / Certified,"If a vendor belongs to the Klimaschutz Unternehmen they should be considered certified. If their membership is in process they should be considered as with an Uncertified Commitment"
PEFC,Forest management certification,Certified,"The vendor should be shown as Certified if they themselves are certified, or if they produce their products with PEFC certified raw materials (i.e. a book printing company that produces books made solely with FSC Certified products)"
REACH Compliant,Chemical production management,Compliant,"This is not a certification but more of a regulation. This should be shown for chemical companies which have a more sensitive performance, especially when it comes to environmental and health and safety components."
RoHS Compliant,Hazardous substances management,Compliant,"This is not a certification but more of a regulation. This should be shown for chemical companies which have a more sensitive performance, especially when it comes to environmental and health and safety components."
LEED certified,Sustainable building certification,Certified,
BREEAM certified,Sustainable building certification,Certified,
WELL certified,Sustainable building certification,Certified,
Green Globes,Sustainable building certification,Certified,
Living Building Challenge,Sustainable building certification,Certified,
PassivHaus certified,Sustainable building certification,Certified,
Minergie certified,Sustainable building certification,Certified,
Fitwel certified,Sustainable building certification,Certified,
Carbon Offset Certified,Environmental Management; Carbon Emissions,Certified,"Again, a difficult one as there are different certifications for carbon offsetting. Personally, I think offsetting is bs, but it is still used by businesses and will probably be for the foreseeable future."
IntegrityNext Certified,ESG Certified commitment,Certified,
PPEs certification,Occupational Health and Safety,Certified,
BCorp Certified,ESG Certified commitment,Certified,
EU Ecolabel Certified,ESG Certified commitment,Certified,
Ecocert Cosmos Organic Certified,Organic and natural cosmetics certification,Certified,
USDA,Organic agriculture certification,Certified,
GOTS Certified,Organic textiles certification,Certified,
Global G.A.P Certified,Chain of custody certification,Certified,
Organic 100 certified,Organic textiles certification,Certified,
EU organic regulation - (EU) 2018/848,Organic agriculture certification,Certified,
Ecocert Ecodetergent certified,Eco detergent certification,Certified,
Global Recycled Standard Certified,Recycling; Environmental Management,Certified,
RecyClass certified,Recycling; Environmental Management,Certified,
Ecocert Textile certified,Sustainable textiles certification,Certified,
Rainforest Alliance,Environmental management; Social Management; Living wage,Certified,
Leaping Bunny certified,Cruelty free; Environmental management,Certified,
Peta approved,Cruelty free; Environmental management,Certified,
Vegan Society certified,Cruelty free; Environmental management,Certified,
Vegetarian Society Approved,Environmental management,Certified,
Ökoprofit certified,Environmental Management,Certified,
Soil Association Certified,Organic soil; Environmental management,Certified,
Energy Star certified,Sustainable building certification,Certified,"This one is a little complicated because Energy Star certified other stuff not only buildings, and should maybe have subclasses."
Chooose,Sustainable Aviation Fuel (SAF) and carbon removal programs,Certified,
Cradle to Cradle Certified,Environmental management; Circular economy,Certified,
Sustainable Business Policy,Policies,Uncert. Commitment,"This document is publicly available, but no certified commitments are shown."
Whistleblower policy,Policies,Certified,
Stakeholder engagement policy,Policies,Uncert. Commitment,"This document is publicly available, but no certified commitments are shown."
Code of Conduct,Policies,Uncert. Commitment,"This document is publicly available, but no certified commitments are shown."
Corporate Social Responsibility,Practice; Social Management,Uncert. Commitment,"This document is publicly available, but no certified commitments are shown."
